CAST_ID,SOURCE,CARBON,VANADIUM,TITANIUM,NIOBIUM,MANGANESE,PHOSPHORUS,SULPHUR,SILICON
V76175,CC3,0.032,0.001,0.0,0.0,0.179,0.022,0.007,0.007
V76176,CC2,0.048,0.004,0.018,0.011,0.738,0.026,0.005,0.067
V76177,CC2,0.045,0.004,0.016,0.01,0.774,0.019,0.005,0.058
V76218,CC3,0.038,0.001,0.0,0.0,0.21,0.019,0.007,0.006
V76238,CC3,0.046,0.001,0.0,0.0,0.19,0.01,0.006,0.004
V76240,CC3,0.082,0.001,0.0,0.0,0.171,0.016,0.007,0.006
V76255,CC3,0.045,0.001,0.001,0.001,0.19,0.013,0.006,0.01
V76258,CC2,0.07,0.004,0.02,0.032,0.8,0.012,0.007,0.011
V76257,CC3,0.042,0.001,0.0,0.0,0.2,0.018,0.004,0.009
V76259,CC3,0.05,0.001,0.001,0.001,0.185,0.013,0.004,0.009
V76260,CC2,0.08,0.001,0.02,0.032,0.83,0.017,0.003,0.012
V76265,CC2,0.087,0.001,0.02,0.031,0.827,0.019,0.01,0.01
V76791,CC1,0.0019,0.001,0.057,0.001,0.076,0.012,0.007,0.006
V76793,CC3,0.057,0.001,0.0,0.0,0.209,0.011,0.007,0.008
V76795,CC1,0.0022,0.001,0.055,0.001,0.076,0.016,0.005,0.004
V76794,CC3,0.054,0.001,0.0,0.0,0.208,0.022,0.005,0.008
V76798,CC1,0.0017,0.001,0.058,0.001,0.094,0.014,0.006,0.005
V76797,CC2,0.76,0.003,0.0,0.0,0.685,0.023,0.004,0.208
V76801,CC1,0.002,0.001,0.057,0.001,0.092,0.011,0.007,0.006
V76800,CC3,0.055,0.001,0.0,0.0,0.23,0.016,0.009,0.015
V76184,CC3,0.036,0.001,0.0,0.0,0.199,0.011,0.005,0.006
V76292,CC3,0.045,0.001,0.0,0.0,0.2,0.023,0.007,0.008
V76291,CC2,0.07,0.004,0.027,0.031,0.849,0.012,0.007,0.009
V76295,CC3,0.046,0.001,0.0,0.0,0.189,0.017,0.012,0.007
V76300,CC3,0.038,0.001,0.0,0.0,0.221,0.014,0.007,0.007
V76320,CC2,0.05,0.001,0.001,0.001,0.48,0.032,0.005,0.073
V76322,CC3,0.064,0.002,0.0,0.0,0.5,0.032,0.004,0.065
V76352,CC3,0.059,0.001,0.0,0.0,0.177,0.015,0.009,0.005
V76355,CC3,0.04,0.002,0.0,0.0,0.243,0.015,0.003,0.009
V76358,CC3,0.055,0.001,0.0,0.0,0.211,0.009,0.007,0.005
V76360,CC2,0.052,0.002,0.0,0.0,0.411,0.016,0.004,0.011
V76363,CC2,0.07,0.005,0.035,0.0,0.936,0.014,0.004,0.088
V76389,CC3,0.032,0.001,0.0,0.0,0.18,0.016,0.005,0.018
V76397,CC2,0.047,0.001,0.001,0.013,0.62,0.025,0.004,0.092
V76395,CC3,0.039,0.001,0.0,0.0,0.202,0.022,0.007,0.009
V76399,CC2,0.047,0.001,0.001,0.009,0.645,0.026,0.003,0.078
V74205,CC3,0.048,0.002,0.0,0.0,0.269,0.021,0.011,0.013
V74203,CC1,0.0022,0.001,0.055,0.001,0.089,0.016,0.007,0.005
V76734,CC1,0.0019,0.001,0.035,0.013,0.08,0.013,0.006,0.005
V76736,CC1,0.0018,0.001,0.034,0.014,0.065,0.01,0.008,0.005
V76739,CC2,0.064,0.002,0.0,0.0,0.468,0.012,0.011,0.016
V76737,CC1,0.0019,0.001,0.03,0.012,0.071,0.009,0.007,0.005
V76741,CC1,0.002,0.001,0.033,0.014,0.086,0.014,0.007,0.005
V76738,CC2,0.059,0.002,0.0,0.0,0.437,0.014,0.011,0.017
V76750,CC1,0.0024,0.001,0.056,0.001,0.086,0.012,0.005,0.005
V76901,CC1,0.0017,0.001,0.057,0.001,0.091,0.013,0.005,0.006
V76900,CC3,0.045,0.001,0.001,0.001,0.21,0.016,0.004,0.016
V76904,CC1,0.0016,0.001,0.055,0.001,0.091,0.011,0.006,0.005
V76909,CC1,0.0017,0.001,0.059,0.001,0.075,0.019,0.006,0.006
V76910,CC1,0.0016,0.001,0.061,0.001,0.077,0.011,0.007,0.004
V76918,CC3,0.028,0.003,0.0,0.0,0.2,0.009,0.007,0.007
V77009,CC2,0.05,0.001,0.001,0.001,0.483,0.022,0.01,0.013
V77008,CC1,0.0016,0.001,0.062,0.001,0.073,0.011,0.007,0.006
V77010,CC1,0.0017,0.001,0.06,0.001,0.077,0.009,0.005,0.005
V77014,CC2,0.052,0.001,0.001,0.001,0.363,0.023,0.009,0.02
V77031,CC3,0.054,0.001,0.0,0.0,0.21,0.013,0.003,0.009
V77037,CC3,0.053,0.001,0.001,0.001,0.213,0.014,0.004,0.006
V77035,CC2,0.058,0.001,0.001,0.001,0.413,0.016,0.005,0.006
V77041,CC3,0.056,0.002,0.0,0.0,0.204,0.009,0.004,0.006
V77043,CC2,0.079,0.003,0.0,0.0,0.941,0.016,0.003,0.062
V77045,CC1,0.0019,0.001,0.058,0.001,0.101,0.017,0.006,0.007
V75744,CC3,0.045,0.001,0.001,0.0,0.214,0.013,0.003,0.016
V75743,CC2,0.14,0.001,0.001,0.0,0.876,0.035,0.003,0.027
V75747,CC2,0.051,0.001,0.017,0.0,0.386,0.02,0.004,0.012
V75745,CC3,0.057,0.001,0.0,0.0,0.226,0.014,0.004,0.015
V76070,CC2,0.051,0.001,0.018,0.008,0.721,0.018,0.005,0.062
V76092,CC2,0.14,0.003,0.001,0.012,0.911,0.026,0.004,0.155
V76090,CC3,0.031,0.001,0.0,0.0,0.194,0.015,0.004,0.008
V76093,CC3,0.036,0.001,0.0,0.0,0.194,0.016,0.008,0.008
V76094,CC2,0.14,0.003,0.001,0.014,0.896,0.02,0.004,0.129
V76095,CC3,0.043,0.001,0.0,0.0,0.202,0.012,0.009,0.008
V76324,CC2,0.06,0.001,0.0,0.0,0.332,0.014,0.006,0.008
V76769,CC1,0.002,0.001,0.059,0.001,0.095,0.013,0.006,0.004
V76771,CC3,0.041,0.001,0.0,0.0,0.246,0.016,0.007,0.008
V76809,CC3,0.045,0.001,0.0,0.0,0.227,0.02,0.01,0.012
V76810,CC2,0.89,0.001,0.001,0.002,1.033,0.01,0.003,0.355
V74452,CC2,0.14,0.003,0.0,0.0,0.752,0.02,0.005,0.053
V74451,CC1,0.0018,0.001,0.033,0.013,0.08,0.018,0.005,0.004
V74455,CC3,0.03,0.001,0.001,0.001,0.26,0.014,0.007,0.01
V74466,CC2,0.17,0.001,0.001,0.001,0.833,0.016,0.006,0.015
V74464,CC3,0.04,0.001,0.001,0.001,0.21,0.022,0.007,0.011
V74465,CC2,0.18,0.001,0.001,0.001,0.816,0.023,0.007,0.011
V74468,CC1,0.0018,0.001,0.055,0.001,0.086,0.018,0.007,0.003
V74469,CC2,0.14,0.001,0.012,0.018,1.062,0.027,0.006,0.011
V74470,CC3,0.036,0.001,0.001,0.001,0.245,0.017,0.005,0.012
V74681,CC1,0.0028,0.001,0.06,0.016,0.536,0.033,0.008,0.007
V74718,CC3,0.045,0.001,0.0,0.0,0.229,0.026,0.011,0.009
V74717,CC2,0.084,0.001,0.0,0.007,1.032,0.023,0.007,0.009
V74720,CC3,0.041,0.001,0.0,0.0,0.223,0.019,0.008,0.007
V74727,CC3,0.054,0.001,0.0,0.0,0.245,0.012,0.01,0.011
V74728,CC1,0.062,0.001,0.0,0.0,0.326,0.016,0.008,0.007
V74733,CC1,0.063,0.003,0.0,0.0,0.327,0.013,0.005,0.01
V74755,CC3,0.055,0.001,0.0,0.0,0.356,0.013,0.004,0.009
V74762,CC3,0.056,0.001,0.0,0.0,0.371,0.022,0.005,0.009
V74766,CC3,0.051,0.001,0.0,0.0,0.33,0.018,0.004,0.008
V74777,CC3,0.053,0.001,0.001,0.001,0.451,0.018,0.005,0.006
V76824,CC3,0.058,0.001,0.0,0.0,0.185,0.012,0.006,0.008
V76826,CC1,0.051,0.001,0.001,0.0,0.279,0.012,0.005,0.007
V76823,CC2,0.77,0.003,0.0,0.0,0.641,0.015,0.005,0.174
V76836,CC1,0.002,0.001,0.057,0.001,0.082,0.011,0.006,0.004
V76845,CC2,0.036,0.001,0.001,0.001,0.168,0.016,0.007,0.009
V76972,CC3,0.058,0.003,0.0,0.0,0.208,0.008,0.01,0.006
